Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
ORCL,Oracle Corporation,146.65,USD,-2.5710868987509996,20667838,0.6729709289616277,422421076406.6692,USD,25.176830105754707,5.8248,USD,34.18415535948765,1.32872707945788,Technology services,Buy
PLTR,Palantir Technologies Inc.,172.55,USD,-0.8561250287290166,24589828,0.3893902410845068,414653704408.3231,USD,147.46602854456887,1.1701,USD,288.8667331339315,0,Technology services,Buy
CAT,"Caterpillar, Inc.",881.65,USD,2.9279568511621847,2140621,0.7161786159915435,405272348829.90686,USD,37.92401861681535,23.2478,USD,18.21556423399235,0.719147296776679,Producer manufacturing,Buy
CVX,Chevron Corporation,202.7,USD,1.3499999999999943,8357772,1.0137487143125063,400488830395.63446,USD,19.433206143462503,10.4306,USD,34.62660368104495,3.49,Energy minerals,Buy
GE,GE Aerospace,369.43,USD,0.28503176068190766,5515355,1.8347527439763862,383306719455.4397,USD,43.54380547141123,8.4841,USD,18.431815961025716,0.450621640697106,Electronic technology,Buy
KO,Coca-Cola Company (The),86.98,USD,-0.8322882225515789,12056397,0.8452957450863807,374235693164.25134,USD,26.205899189539334,3.3191,USD,17.602664493498224,2.37145137384563,Consumer non-durables,Buy
UNH,UnitedHealth Group Incorporated,395.62,USD,-1.5209220122968194,5295055,1.3162640067555087,355106483727.86414,USD,25.440164619638608,15.551,USD,-32.64203819448956,2.22786448609763,Health services,Buy
HSBC,"HSBC Holdings, plc.",103.8,USD,0.00963483957991223,1017516,0.7885962788451194,355086758723.10297,USD,14.872125510423382,6.9795,USD,38.945293836598175,3.59379516331053,Finance,Buy
RHHBY,Roche Holding Ltd,54.61,USD,0.16507703595010326,1843449,1.1263874700454215,348156955634.37885,USD,22.592255502233993,2.4172,USD,42.28867435837059,1.83553191489362,Health technology,Buy
MS,Morgan Stanley,218.21,USD,0.3910563121089411,3397629,0.7474391035699856,342713269833.30176,USD,17.631136679486765,12.3764,USD,40.22978086972287,1.90927493559073,Finance,Buy
HD,"Home Depot, Inc. (The)",337.88,USD,-0.28920498140825657,5579976,1.7611204106874716,336905775768.0077,USD,23.990854675972933,14.0837,USD,-4.4544547940001165,2.73269196718409,Retail trade,Buy
MRK,"Merck & Company, Inc.",135.97,USD,0.09570082449940771,8477590,0.9808249286987473,335461317604.36523,USD,108.68036128207177,1.2511,USD,-80.7110590339341,2.47349823321555,Health technology,Buy
PG,Procter & Gamble Company (The),143.12,USD,-0.9892770667589116,9867511,1.240393606904714,332672873078.0054,USD,21.61966192842792,6.6199,USD,1.73974518573163,2.96824628156347,Consumer non-durables,Buy
NFLX,"Netflix, Inc.",76.02,USD,-2.737973387922212,30752970,1.014099482079002,316542729176.88556,USD,23.94934156637893,3.1742,USD,35.26804738770987,0,Technology services,Buy
DELL,Dell Technologies Inc.,479.81,USD,-2.2411931297243335,5273639,0.8969996963191333,311051725643.6397,USD,38.12827297939464,12.5841,USD,100.63934948979589,0.47065055724211,Electronic technology,Buy
